Flow
Terrestrial Macro HDPE-rigid-large
Terrestrial Macro LDPE-flexible-large
Terrestrial Macro LDPE-flexible-small
Terrestrial Macro Multilayer-flexible-large (food packaging film)
Terrestrial Macro Multilayer-flexible-large (non-food packaging film)
Terrestrial Macro Multilayer-flexible-small (food packaging film)
Terrestrial Macro Multilayer-rigid-large
Terrestrial Macro PET-rigid-large
Terrestrial Macro PP-flexible-large
Terrestrial Macro PP-flexible-small
Terrestrial Macro PP-rigid-large
Terrestrial Macro PS-rigid-large
Terrestrial Macro PVC-rigid-large
